,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,AptAge
695,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,910.0,364159,0.0
696,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,398230,8.0
697,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,910.0,358407,1.0
698,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1394.0,254867,8.0
700,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,154867,10.0
701,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,246017,7.0
703,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1103.0,230088,8.0
704,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,206637,10.0
706,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,282300,9.0
708,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,558.0,126548,18.0
710,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,38053,23.0
711,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,172566,22.0
712,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,181415,7.0
713,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,211504,9.0
714,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,396460,8.0
715,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,203646,6.0
716,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,640.0,141150,23.0
717,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,61061,30.0
718,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,1184.0,225663,10.0
719,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1273.0,376106,8.0
720,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,320353,8.0
721,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,224336,10.0
723,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,169911,10.0
724,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1483.0,360176,8.0
725,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,361061,2.0
726,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014.0,10.0,914.0,353982,1.0
727,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,1160.0,212389,6.0
728,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1761.0,203539,22.0
731,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,200884,10.0
732,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,277.0,95221,1.0
733,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978.0,3.0,779.0,172566,37.0
734,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,215044,9.0
735,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,292035,8.0
736,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,157522,10.0
738,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,123451,22.0
739,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,327433,7.0
741,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1377.0,245575,29.0
742,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,253982,9.0
743,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,323389,8.0
744,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,172566,22.0
745,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,676.0,72123,30.0
746,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,143362,22.0
747,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,222123,9.0
748,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,640.0,116814,23.0
752,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,843.0,323008,1.0
754,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1394.0,223893,8.0
756,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,239823,10.0
757,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,349557,8.0
759,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015.0,7.0,644.0,278761,0.0
760,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,250000,22.0
761,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,255752,7.0
762,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1437.0,256637,9.0
763,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,644.0,300884,0.0
764,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,91150,22.0
765,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,131415,30.0
766,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,168141,9.0
767,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1803.0,330088,9.0
768,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,644.0,143238,2.0
769,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,322123,8.0
770,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,91592,22.0
771,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,914.0,287610,8.0
773,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1103.0,225663,8.0
774,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,296460,29.0
776,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1444.0,406194,8.0
777,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,408849,8.0
778,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,106194,22.0
779,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,141592,10.0
780,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,907.0,340707,1.0
782,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,117699,22.0
783,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,154424,10.0
784,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,910.0,150442,29.0
785,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,243362,9.0
786,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1796.0,300884,29.0
787,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,174336,29.0
792,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,210619,9.0
793,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,147787,29.0
794,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,161946,7.0
795,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,64601,23.0
796,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,288.0,98761,1.0
797,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,644.0,95132,23.0
798,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,324778,9.0
799,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,498.0,61946,30.0
801,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,119469,22.0
802,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,201672,6.0
803,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,83185,22.0
805,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,63716,23.0
806,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,302654,29.0
807,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,187610,6.0
808,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1796.0,371681,29.0
809,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,60176,23.0
810,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,371681,9.0
812,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,323893,9.0
813,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,97345,10.0
814,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,55752,30.0
815,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,843.0,292035,1.0
817,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,190265,6.0
818,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,270796,10.0
819,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1761.0,212389,22.0
820,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1313.0,181415,29.0
821,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1366.0,281592,8.0
822,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1690.0,465486,8.0
823,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,640.0,262831,1.0
824,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,150442,22.0
825,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,415929,8.0
827,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,318584,2.0
829,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1273.0,317699,8.0
830,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,69026,23.0
832,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,138053,23.0
833,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,195575,10.0
834,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,644.0,86725,18.0
836,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,265486,29.0
837,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,51327,23.0
838,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,181415,9.0
840,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,396460,9.0
841,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1313.0,238938,29.0
842,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,234513,7.0
843,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,199115,10.0
844,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,508.0,108849,29.0
846,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,236283,7.0
849,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,127433,22.0
851,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,508849,8.0
852,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,279646,9.0
853,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1444.0,295575,8.0
854,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,508.0,108407,29.0
855,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,265486,9.0
856,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,312389,8.0
858,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1366.0,290000,8.0
860,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,1184.0,201769,10.0
861,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,360176,8.0
862,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,233628,8.0
865,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,296460,9.0
866,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1483.0,387610,8.0
870,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,811.0,199115,9.0
872,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,309734,2.0
874,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1451.0,163716,22.0
875,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,215486,8.0
876,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,209734,8.0
877,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,222123,22.0
879,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,246017,22.0
880,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978.0,3.0,779.0,201769,37.0
881,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,1035.0,455752,0.0
882,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1334.0,357522,8.0
883,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,284070,9.0
884,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1803.0,380530,9.0
885,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978.0,3.0,903.0,130088,37.0
886,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,209734,9.0
887,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,202654,10.0
889,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,121238,22.0
890,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,907.0,327433,1.0
891,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,910.0,333628,1.0
892,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,283185,9.0
893,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,184955,29.0
894,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1437.0,247787,9.0
896,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,432743,9.0
898,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,35840,23.0
899,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,246017,29.0
900,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1803.0,247787,29.0
902,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,914.0,407079,0.0
903,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,152212,10.0
907,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,644.0,141884,2.0
908,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,203539,7.0
909,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,257654,2.0
910,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1288.0,309734,22.0
912,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,153097,9.0
913,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,159292,10.0
914,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,640.0,274336,1.0
916,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,256637,29.0
920,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1103.0,221238,8.0
921,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1377.0,168141,29.0
923,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,345902,8.0
925,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,178761,29.0
926,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,160176,9.0
927,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,178761,10.0
928,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1483.0,408849,8.0
929,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,165486,22.0
931,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,644.0,140380,2.0
932,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1743.0,340707,9.0
933,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,268141,8.0
934,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1761.0,309734,22.0
935,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1394.0,362831,8.0
936,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,262831,9.0
937,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,99115,22.0
938,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,910.0,392920,0.0
939,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1103.0,269911,8.0
940,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,376867,8.0
942,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,70353,23.0
945,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,297787,9.0
946,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,846.0,325221,1.0
948,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,644.0,107964,23.0
949,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,843.0,335398,1.0
950,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,149292,29.0
951,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,644.0,92920,23.0
953,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,230088,6.0
954,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,247787,22.0
955,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,228318,22.0
956,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,231858,22.0
957,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1803.0,314159,22.0
958,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,334513,8.0
959,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,74336,23.0
961,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,914.0,384955,0.0
964,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,68141,23.0
965,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,640.0,74778,23.0
966,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,207079,8.0
969,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1149.0,300884,9.0
970,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,1160.0,210619,6.0
971,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,529203,8.0
972,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,193805,10.0
973,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,165486,9.0
974,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1796.0,243362,29.0
976,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1803.0,237168,29.0
977,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1743.0,274336,9.0
980,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,157964,22.0
981,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,189115,10.0
982,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,207964,8.0
983,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,264159,9.0
984,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,254867,7.0
985,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,402654,8.0
986,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,508.0,65486,29.0
990,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1437.0,346902,9.0
992,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,179646,9.0
994,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,1160.0,188265,6.0
995,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1451.0,176991,22.0
996,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,914.0,184955,23.0
997,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,338053,8.0
998,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,644.0,88495,18.0
999,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,148672,10.0
1000,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,273451,9.0
1001,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,636.0,178318,9.0
1002,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1149.0,294690,9.0
1005,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,166371,29.0
1006,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,147787,10.0
1007,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,164601,7.0
1008,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,49557,23.0
1009,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1803.0,269911,22.0
1010,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,910.0,394690,0.0
1011,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,162743,22.0
1012,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,296460,9.0
1013,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,508.0,84070,29.0
1015,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,82743,22.0
1016,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1377.0,207964,29.0
1017,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,644.0,63716,18.0
